agency,section,id,published_iso,headline,summary,content,url
thairath,tech_innovation,2904953,2026-01-03T07:30:00+07:00,2026 ปีหัวเลี้ยวหัวต่อของ AI เปิด 10 เทรนด์เทคฯ น่าจับตา เมื่อ AI เขียนกติกาใหม่,รวม 10 เทรนด์เทคโนโลยีที่น่าจับตาแห่งปี 2026 ตามรายงาน “Top 10 Strategic Technology Trends for 2026” ของ Gartner ที่ฉายภาพ AI กำลังเป็นเทคหลัก เป็นผู้นำที่ทำให้เทรนด์ต่าง ๆ ต้องปรับตาม,,https://www.thairath.co.th/money/tech_innovation/tech_companies/2904953
thairath,tech_innovation,2905127,2026-01-04T08:00:00+07:00,7 มหาเศรษฐี AI รุ่นใหม่ รวยด้วย… อัลกอริทึม,เผยโฉม 7 มหาเศรษฐีหน้าใหม่ในโลกเทคโนโลยีที่รวยขึ้นมาจากธุรกิจ AI ท่ามกลางกระแสคลั่งไคล้ AI ส่งผลให้คนกลุ่มนี้ขึ้นแท่นมาเป็นดาวเด่นที่น่าจับตาในปีนี้และในปีต่อ ๆ ไป,,https://www.thairath.co.th/money/tech_innovation/tech_companies/2905127
thairath,tech_innovation,2905937,2026-01-05T15:10:02+07:00,บทเรียนฟองสบู่ในอดีตกำลังบอกอะไรตลาด AI วันนี้? ย้อนรอยประวัติศาสตร์ เพื่ออ่านสัญญาณตลาด,ย้อนรอยประวัติศาสตร์ อ่านสัญญาณตลาดว่าโลกกำลังเข้าสู่ “ฟองสบู่ AI” หรือไม่? เมื่อหุ้นเทคโนโลยีกำลังเป็นเดอะแบกขับเคลื่อนตลาด ด้วยเงินลงทุนจำนวนมหาศาลหลั่งไหลเข้าไป,,https://www.thairath.co.th/money/tech_innovation/tech_companies/2905937
thairath,tech_innovation,2906070,2026-01-06T10:10:41+07:00,แม้จะเร่งพัฒนา AI อย่างหนัก แต่ทำไม “จีน” ยังตามหลัง? รู้จัก FDPR กฎหมายที่ทำให้จีนยังแพ้ในสนาม AI,Foreign Direct Product Rule (FDPR) นโยบายของสหรัฐอเมริกา ที่หยิบขึ้นมาเพื่อเป็นเครื่องมือกีดกันทางการค้ากับมหาอำนาจอื่น โดยเฉพาะจีน ส่งผลให้ทุกวันนี้ การสร้างเทคโนโลยี AI ของจีนจึงยังตามหลัง,,https://www.thairath.co.th/money/tech_innovation/tech_companies/2906070
thairath,tech_innovation,2906206,2026-01-06T18:00:49+07:00,รู้จัก Polymarket - Kalshi ธุรกิจ “ขายความน่าจะเป็น” Prediction Market ตลาดที่เปลี่ยนข่าวเป็นเงิน,รู้จัก Prediction Market หรือตลาดคาดการณ์อนาคต ที่กำลังได้รับความนิยม กับการถูกตั้งคำถามว่าแท้จริงแล้วคือ แหล่งข้อมูลเชิงลึกตามผู้ก่อตั้งกล่าวอ้าง หรือเป็นการพนันยุคใหม่ของโลกทุนนิยม,,https://www.thairath.co.th/money/tech_innovation/tech_companies/2906206
thairath,tech_innovation,2906337,2026-01-07T14:05:30+07:00,ปี 2026 ลุ้นตลาดคริปโตฯ ทำนิวไฮ เปิด 3 ปัจจัยที่นักลงทุนต้องจับตาตั้งแต่ต้นปี,ต้อนรับปีใหม่ 2026 ตลาดคริปโตฯ เปิดปีด้วยสัญญาณที่ดี มูลค่าบิตคอยน์ทะยานขึ้นมาแล้ว 7% นักวิเคราะห์มองปีนี้โอกาสสดใสขึ้น แต่ยังต้องจับตาใกล้ชิดกับปัจจัยเรื่องกฎหมายคริปโตฯ สหรัฐฯ ต่อ,,https://www.thairath.co.th/money/tech_innovation/tech_companies/2906337
thairath,tech_innovation,2906511,2026-01-08T11:42:08+07:00,Google มูลค่าแซง Apple ครั้งแรก ทะลุ 3.88 ล้านล้าน สะท้อนกลยุทธ์ AI ดันหุ้นพุ่งแรงสุดในรอบ 15 ปี,Alphabet ขึ้นแท่นบริษัทมูลค่าสูงสุดอันดับ 2 ของโลกทะลุ 3.88 ล้านล้านดอลลาร์สหรัฐ แซงหน้า Apple หลังกลยุทธ์ด้าน AI ที่ตอบรับดี ทำปี 2025 ที่ผ่านมาหุ้นพุ่งขึ้นกว่า 65% แรงสุดในรอบ 15 ปี,,https://www.thairath.co.th/money/tech_innovation/tech_companies/2906511
thairath,tech_innovation,2906720,2026-01-09T11:01:21+07:00,9 มกราคม วันที่ iPhone เปลี่ยนโลกไปตลอดกาล 19 ปี 51 รุ่น จากมือถือกลายเป็น “ศูนย์กลางชีวิต”  ,"19 ปี 51 รุ่น ครบรอบเปิดตัว ""iPhone เครื่องแรกของโลก"" บทความนี้ชวนย้อนกลับไปดูแนวคิดของ Steve Jobs และอิทธิพลที่ iPhone มีต่อผู้คนในฐานะเทคโนโลยีที่สร้างพฤติกรรมใหม่ๆ ของมนุษยชาติ",,https://www.thairath.co.th/money/tech_innovation/tech_companies/2906720
thairath,tech_innovation,2906794,2026-01-09T15:16:18+07:00,Qwen โมเดล AI จีนของ Alibaba กำลังไล่กินตลาดโลกแบบเงียบ ๆ กลยุทธ์ Open Source ท้าชน Big Tech โลก,เบื้องหลังอาณาจักร Alibaba ที่ทำให้เป็นมากกว่าอีคอมเมิร์ซ แต่กำลังครองโลกเทคโนโลยี โดยเฉพาะด้าน AI ผ่านกลยุทธ์ที่วางแผนมานาน ทุ่มลงทุนสุดตัว พร้อมเป็นตัวเอกของจีนท้าชนบิ๊กเทคระดับโลก,,https://www.thairath.co.th/money/tech_innovation/tech_companies/2906794
thairath,tech_innovation,2907302,2026-01-12T15:21:17+07:00,จีนกังวลเรื่อง“ข้อมูลส่วนบุคคล” อะไรทำให้ยอมเปลี่ยนทิศทาง? จาก “รัฐสอดแนม” สู่ยุค Data Governance ,รู้จัก กฎหมายคุ้มครองข้อมูลส่วนบุคคล Personal Information Protection Law หรือ PIPL  จาก “รัฐสอดแนม” เปลี่ยนทิศทางมาคุมเข้มเก็บ-ใช้ข้อมูลที่ทำให้ธุรกิจและพลตฟอร์มทั่วโลกต้องตั้งหลักใหม่,,https://www.thairath.co.th/money/tech_innovation/tech_companies/2907302
